Market Center,Commodity,State,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Basava Kalayana,Groundnut,Karnataka,2011,February,NR,Tonnes,NR,Gungri (With Shell),4100,4100,4100,Rs/Quintal
Bellary,Groundnut,Karnataka,2011,February,5,Tonnes,NR,Big (With Shell),2151,4011,2750,Rs/Quintal
Chitradurga,Groundnut,Karnataka,2011,February,34,Tonnes,NR,Natte,2819,3701,3300,Rs/Quintal
Gadag,Groundnut,Karnataka,2011,February,65,Tonnes,NR,Balli/Habbu,1511,2309,2010,Rs/Quintal
H.B. Halli,Groundnut,Karnataka,2011,February,27,Tonnes,NR,Big (With Shell),2500,3200,3200,Rs/Quintal
Hubli (Amaragol),Groundnut,Karnataka,2011,February,5,Tonnes,NR,Balli/Habbu,2199,2269,2239,Rs/Quintal
Hubli (Amaragol),Groundnut,Karnataka,2011,February,,,NR,Hybrid,2909,3289,3289,Rs/Quintal
Kustagi,Groundnut,Karnataka,2011,February,NR,Tonnes,NR,Gejje,2600,4029,3600,Rs/Quintal
Laxmeshwar,Groundnut,Karnataka,2011,February,50,Tonnes,NR,Balli/Habbu,1374,2839,2339,Rs/Quintal
Madhugiri,Groundnut,Karnataka,2011,February,NR,Tonnes,NR,Big (With Shell),2200,2800,2600,Rs/Quintal
Mundaragi,Groundnut,Karnataka,2011,February,5,Tonnes,NR,Gejje,1666,2609,2389,Rs/Quintal
Raichur,Groundnut,Karnataka,2011,February,357,Tonnes,NR,Gungri (With Shell),2039,4069,3949,Rs/Quintal
Rona,Groundnut,Karnataka,2011,February,21,Tonnes,NR,Gejje,1750,3880,3150,Rs/Quintal
Savanur,Groundnut,Karnataka,2011,February,2,Tonnes,NR,Balli/Habbu,2209,2855,2532,Rs/Quintal
Shahapur,Groundnut,Karnataka,2011,February,7,Tonnes,NR,Big (With Shell),3206,4050,3709,Rs/Quintal
Talikot,Groundnut,Karnataka,2011,February,NR,Tonnes,NR,Javeri,3400,3650,3500,Rs/Quintal
Yadgir,Groundnut,Karnataka,2011,February,1028,Tonnes,NR,Big (With Shell),3249,4259,3859,Rs/Quintal
Javad,Groundnut,Madhya Pradesh,2011,February,1.5,Tonnes,NR,Bold,2255,2300,2275,Rs/Quintal
Karera,Groundnut,Madhya Pradesh,2011,February,3.4,Tonnes,NR,Other,3250,3480,3300,Rs/Quintal
Magroni,Groundnut,Madhya Pradesh,2011,February,10.7,Tonnes,NR,Other,2750,3300,2950,Rs/Quintal
Neemuch,Groundnut,Madhya Pradesh,2011,February,47,Tonnes,"Madhya Pradesh,Neemuch",Bold,2500,3491,2950,Rs/Quintal
Shivpuri,Groundnut,Madhya Pradesh,2011,February,4.9,Tonnes,NR,Other,2369,2920,2870,Rs/Quintal
Kolhapur(Laxmipuri),Groundnut,Maharashtra,2011,February,7.2,Tonnes,NR,Other,4500,5400,5000,Rs/Quintal
Mumbai,Groundnut,Maharashtra,2011,February,56.2,Tonnes,NR,Other,4600,6100,5350,Rs/Quintal
Pune,Groundnut,Maharashtra,2011,February,3.2,Tonnes,NR,Other,5200,6100,5650,Rs/Quintal
Attabira,Groundnut,Orissa,2011,February,2,Tonnes,NR,Other,3000,3200,3000,Rs/Quintal
Thattanchavady,Groundnut,Pondicherry,2011,February,0.16,Tonnes,NR,Other,3063,5313,4000,Rs/Quintal
Bhilwara,Groundnut,Rajasthan,2011,February,7,Tonnes,NR,Other,2690,2841,2765,Rs/Quintal
Chomu,Groundnut,Rajasthan,2011,February,18.6,Tonnes,NR,Other,2500,3110,2805,Rs/Quintal
Fatehnagar,Groundnut,Rajasthan,2011,February,10,Tonnes,NR,Other,2910,3115,2970,Rs/Quintal
Jaipur(Grain)(Chandpole),Groundnut,Rajasthan,2011,February,134,Tonnes,NR,Other,2400,3200,3100,Rs/Quintal
Jodhpur(Grain)(Phalodi),Groundnut,Rajasthan,2011,February,1.1,Tonnes,NR,Local,2400,2550,2475,Rs/Quintal
Lalsot,Groundnut,Rajasthan,2011,February,1.5,Tonnes,NR,Other,2400,2650,2450,Rs/Quintal
Nimbahera,Groundnut,Rajasthan,2011,February,8.8,Tonnes,NR,Other,2500,2990,2700,Rs/Quintal
Niwai,Groundnut,Rajasthan,2011,February,5,Tonnes,NR,Other,2700,2700,2700,Rs/Quintal
Nohar,Groundnut,Rajasthan,2011,February,2.1,Tonnes,NR,Other,2900,2900,2900,Rs/Quintal
Sujangarh,Groundnut,Rajasthan,2011,February,1.1,Tonnes,NR,Other,2411,2411,2411,Rs/Quintal
Chethupattu,Groundnut,Tamil Nadu,2011,February,2.66,Tonnes,NR,Other,3589,4063,3971,Rs/Quintal
Cheyyar,Groundnut,Tamil Nadu,2011,February,2.02,Tonnes,NR,Other,3773,4049,4031,Rs/Quintal
Katpadi,Groundnut,Tamil Nadu,2011,February,0.18,Tonnes,NR,Other,4003,4003,4003,Rs/Quintal
Kolathur,Kolathur,Tamil Nadu,2011,February,NR,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Salem,Groundnut,Tamil Nadu,2011,February,NR,Tonnes,NR,Groundnut seed,3000,3400,3200,Rs/Quintal
Salem,Groundnut,Tamil Nadu,2011,February,,,NR,Other,3600,4100,3850,Rs/Quintal
Sevur,Groundnut,Tamil Nadu,2011,February,15.05,Tonnes,NR,Local,3650,3810,3730,Rs/Quintal
Theni,Groundnut,Tamil Nadu,2011,February,NR,Tonnes,NR,Other,4100,4300,4250,Rs/Quintal
Tiruchengode,Groundnut,Tamil Nadu,2011,February,NR,Tonnes,NR,Other,3100,3400,3250,Rs/Quintal
Vandavasi,Groundnut,Tamil Nadu,2011,February,0.72,Tonnes,NR,Other,3700,4495,4084,Rs/Quintal
Amangal,Groundnut,Telangana,2011,February,1,Tonnes,NR,Local,4035,4100,4067,Rs/Quintal
Atmakur,Groundnut,Telangana,2011,February,518,Tonnes,NR,Big (With Shell),1830,4233,3200,Rs/Quintal
Gadwal,Groundnut,Telangana,2011,February,7905,Tonnes,NR,Big (With Shell),2516,4409,3602,Rs/Quintal
Kollapur,Groundnut,Telangana,2011,February,NR,Tonnes,NR,Local,2850,4000,3500,Rs/Quintal
Narayanpet,Groundnut,Telangana,2011,February,1215,Tonnes,NR,Local,2201,3902,3052,Rs/Quintal
Wanaparthy town,Groundnut,Telangana,2011,February,6680,Tonnes,NR,Local,2809,4389,3509,Rs/Quintal
Jhansi,Groundnut,Uttar Pradesh,2011,February,85,Tonnes,NR,Other,NR,NR,3150,Rs/Quintal
Madhoganj,Groundnut,Uttar Pradesh,2011,February,7.6,Tonnes,NR,Other,NR,NR,2655,Rs/Quintal
Mahoba,Groundnut,Uttar Pradesh,2011,February,4,Tonnes,NR,Other,NR,NR,2285,Rs/Quintal
Muzzafarnagar,Groundnut,Uttar Pradesh,2011,February,3,Tonnes,NR,Other,2600,3100,2715,Rs/Quintal
Najibabad,Groundnut,Uttar Pradesh,2011,February,1.3,Tonnes,NR,Other,NR,NR,2780,Rs/Quintal
Jetpur(Dist.Rajkot),Groundnut (Split),Gujarat,2011,February,0.2,Tonnes,NR,Groundnut(Split),2625,3005,2875,Rs/Quintal
Junagadh,Groundnut (Split),Gujarat,2011,February,3,Tonnes,NR,Other,2500,3140,3000,Rs/Quintal
Upleta,Groundnut (Split),Gujarat,2011,February,4,Tonnes,NR,Other,2750,2820,2790,Rs/Quintal
Kolaras,Groundnut (Split),Madhya Pradesh,2011,February,3.1,Tonnes,NR,Other,NR,3050,NR,Rs/Quintal
Loha,Hippe Seed,Maharashtra,2011,February,0.1,Tonnes,NR,Other,1251,1251,1251,Rs/Quintal
Mysore (Bandipalya),Honge seed,Karnataka,2011,February,NR,Tonnes,NR,Honge Seed,1525,1632,1594,Rs/Quintal
Bagalakot,Linseed,Karnataka,2011,February,NR,Tonnes,NR,Other,2101,2101,2101,Rs/Quintal
Koppal,Linseed,Karnataka,2011,February,NR,Tonnes,NR,Other,2001,2001,2001,Rs/Quintal
Kustagi,Linseed,Karnataka,2011,February,NR,Tonnes,NR,Other,2512,2512,2512,Rs/Quintal
Mandsaur,Linseed,Madhya Pradesh,2011,February,10,Tonnes,NR,Other,2851,2916,2875,Rs/Quintal
Rewa,Linseed,Madhya Pradesh,2011,February,0.2,Tonnes,NR,Other,2300,2300,2300,Rs/Quintal
Satna,Linseed,Madhya Pradesh,2011,February,1.3,Tonnes,NR,Other,2200,2300,2250,Rs/Quintal
Allahabad,Linseed,Uttar Pradesh,2011,February,1,Tonnes,NR,Linseed,NR,NR,2875,Rs/Quintal
Azamgarh,Linseed,Uttar Pradesh,2011,February,0.5,Tonnes,NR,Other,2340,2360,2350,Rs/Quintal
Gazipur,Linseed,Uttar Pradesh,2011,February,0.4,Tonnes,NR,Other,3100,3160,3130,Rs/Quintal
Gonda,Linseed,Uttar Pradesh,2011,February,0.2,Tonnes,NR,Other,2440,2460,2450,Rs/Quintal
Gorakhpur,Linseed,Uttar Pradesh,2011,February,1.5,Tonnes,NR,Linseed,NR,NR,2360,Rs/Quintal
Lucknow,Linseed,Uttar Pradesh,2011,February,27.5,Tonnes,NR,Other,NR,NR,2700,Rs/Quintal
Mahoba,Linseed,Uttar Pradesh,2011,February,1,Tonnes,NR,Other,NR,NR,2910,Rs/Quintal
Maudaha,Linseed,Uttar Pradesh,2011,February,13.2,Tonnes,NR,Other,NR,NR,2800,Rs/Quintal
Kharupetia,Mustard,Assam,2011,February,5,Tonnes,NR,Mustard,2000,2100,2050,Rs/Quintal
Rajnandgaon,Mustard,Chattisgarh,2011,February,0.4,Tonnes,NR,Other,2250,2250,2250,Rs/Quintal
Amreli,Mustard,Gujarat,2011,February,0.1,Tonnes,NR,Other,2545,2545,2545,Rs/Quintal
Bhiloda,Mustard,Gujarat,2011,February,4,Tonnes,NR,Other,2250,2400,2350,Rs/Quintal
Deesa,Mustard,Gujarat,2011,February,17,Tonnes,NR,Other,2425,2576,2565,Rs/Quintal
Deesa(Bhildi),Mustard,Gujarat,2011,February,0.5,Tonnes,NR,Other,2500,2540,2500,Rs/Quintal
Dhanera,Mustard,Gujarat,2011,February,148,Tonnes,NR,Other,2500,2670,2585,Rs/Quintal
Dhrol,Mustard,Gujarat,2011,February,0.05,Tonnes,NR,Other,2225,2415,2230,Rs/Quintal
Gondal,Mustard,Gujarat,2011,February,0.1,Tonnes,NR,Mustard,2500,2505,2500,Rs/Quintal
Jamnagar,Mustard,Gujarat,2011,February,84,Tonnes,NR,Other,2255,2360,2308,Rs/Quintal
Kadi,Mustard,Gujarat,2011,February,85,Tonnes,NR,Other,2500,2600,2550,Rs/Quintal
Kalol,Mustard,Gujarat,2011,February,0.4,Tonnes,NR,Other,2520,2520,2520,Rs/Quintal
Mehsana,Mustard,Gujarat,2011,February,40.3,Tonnes,NR,Other,2450,2545,2515,Rs/Quintal
Modasa,Mustard,Gujarat,2011,February,4.5,Tonnes,NR,Other,2350,2550,2500,Rs/Quintal
Patan,Mustard,Gujarat,2011,February,51,Tonnes,NR,Other,2400,2615,2515,Rs/Quintal
Rajkot,Mustard,Gujarat,2011,February,3,Tonnes,NR,Mustard,2300,2330,2315,Rs/Quintal
Rajula,Mustard,Gujarat,2011,February,0.1,Tonnes,NR,Other,2400,2400,2400,Rs/Quintal
Siddhpur,Mustard,Gujarat,2011,February,10.3,Tonnes,NR,Yellow (Black),2500,2620,2560,Rs/Quintal
Talod,Mustard,Gujarat,2011,February,3,Tonnes,NR,Other,2250,2375,2313,Rs/Quintal
Tharad,Mustard,Gujarat,2011,February,3.4,Tonnes,NR,Other,2525,2590,2575,Rs/Quintal
Tharad(Rah),Mustard,Gujarat,2011,February,NR,Tonnes,NR,Other,2525,2640,2600,Rs/Quintal
Una,Mustard,Gujarat,2011,February,1,Tonnes,NR,Other,2500,2600,2550,Rs/Quintal
Unjha,Mustard,Gujarat,2011,February,NR,Tonnes,NR,Mustard,2550,2551.25,2550,Rs/Quintal
Vadgam,Mustard,Gujarat,2011,February,0.55,Tonnes,NR,Other,2255,2255,2255,Rs/Quintal
Visavadar,Mustard,Gujarat,2011,February,NR,Tonnes,NR,Mustard,1950,2400,2175,Rs/Quintal
Visnagar,Mustard,Gujarat,2011,February,16.2,Tonnes,NR,Other,2550,2680,2615,Rs/Quintal
Pataudi,Mustard,Haryana,2011,February,30.5,Tonnes,NR,Other,2400,2400,2400,Rs/Quintal
Punhana,Mustard,Haryana,2011,February,1,Tonnes,NR,Other,2410,2410,NR,Rs/Quintal
Rewari,Mustard,Haryana,2011,February,15.5,Tonnes,NR,Other,2495,2539,2500,Rs/Quintal
Sohna,Mustard,Haryana,2011,February,0.5,Tonnes,NR,Other,2450,2450,2450,Rs/Quintal
Bangalore,Mustard,Karnataka,2011,February,14,Tonnes,NR,Other,2400,3000,2700,Rs/Quintal
Kollam,Mustard,Kerala,2011,February,0.3,Tonnes,NR,Other,4600,4800,4700,Rs/Quintal
A lot,Mustard,Madhya Pradesh,2011,February,1.8,Tonnes,NR,Other,2000,2251,2076,Rs/Quintal
Alampur,Mustard,Madhya Pradesh,2011,February,1.5,Tonnes,NR,Other,2450,2450,2450,Rs/Quintal
Bhopal,Mustard,Madhya Pradesh,2011,February,1,Tonnes,NR,Other,2154,2154,2154,Rs/Quintal
Dabra,Mustard,Madhya Pradesh,2011,February,2.2,Tonnes,NR,Other,2000,2115,NR,Rs/Quintal
Damoh,Mustard,Madhya Pradesh,2011,February,21,Tonnes,NR,Other,2750,2932,2878,Rs/Quintal
Datia,Mustard,Madhya Pradesh,2011,February,0.4,Tonnes,NR,Other,2336,2575,2525,Rs/Quintal
Ganjbasoda,Mustard,Madhya Pradesh,2011,February,1.6,Tonnes,NR,Other,1900,2174,2165,Rs/Quintal
Indore(F&V),Mustard,Madhya Pradesh,2011,February,8.3,Tonnes,NR,Other,2311,2376,NR,Rs/Quintal
Itarsi,Mustard,Madhya Pradesh,2011,February,0.3,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Javad,Mustard,Madhya Pradesh,2011,February,4.1,Tonnes,NR,Other,2215,2285,2250,Rs/Quintal
Jeerapur,Mustard,Madhya Pradesh,2011,February,2,Tonnes,NR,Other,2300,2300,2300,Rs/Quintal
Kalapipal,Mustard,Madhya Pradesh,2011,February,2,Tonnes,NR,Other,2550,3000,2750,Rs/Quintal
Kolaras,Mustard,Madhya Pradesh,2011,February,215.9,Tonnes,NR,Other,1711,2611,2400,Rs/Quintal
Lashkar,Mustard,Madhya Pradesh,2011,February,8.5,Tonnes,NR,Mustard,2439,2530,2508,Rs/Quintal
Lateri,Mustard,Madhya Pradesh,2011,February,0.1,Tonnes,NR,Other,2180,2180,2180,Rs/Quintal
Mandsaur,Mustard,Madhya Pradesh,2011,February,3500,Tonnes,NR,Other,1900,2450,2270,Rs/Quintal
Mehgaon,Mustard,Madhya Pradesh,2011,February,9,Tonnes,NR,Other,2300,2420,2350,Rs/Quintal
Morena,Mustard,Madhya Pradesh,2011,February,38.2,Tonnes,NR,Sarson(Black),2385,2520,2490,Rs/Quintal
Morena,Mustard,Madhya Pradesh,2011,February,,,"Madhya Pradesh,Morena",Tiria,2250,2425,2425,Rs/Quintal
Neemuch,Mustard,Madhya Pradesh,2011,February,133.5,Tonnes,"Madhya Pradesh,Neemuch",Sarson(Black),2000,2531,2425,Rs/Quintal
Panna,Mustard,Madhya Pradesh,2011,February,1.3,Tonnes,NR,Lohi Black,2288,2460,2350,Rs/Quintal
Porsa,Mustard,Madhya Pradesh,2011,February,18.7,Tonnes,NR,Sarson(Black),2348,2393,2378,Rs/Quintal
Rewa,Mustard,Madhya Pradesh,2011,February,3.9,Tonnes,NR,Other,2298,2311,2308,Rs/Quintal
Sagar,Mustard,Madhya Pradesh,2011,February,0.5,Tonnes,NR,Other,2025,2125,2075,Rs/Quintal
Satna,Mustard,Madhya Pradesh,2011,February,17.4,Tonnes,NR,Other,2235,2305,2280,Rs/Quintal
Sehore,Mustard,Madhya Pradesh,2011,February,0.2,Tonnes,NR,Other,2190,2221,2221,Rs/Quintal
Sheopurbadod,Mustard,Madhya Pradesh,2011,February,3.4,Tonnes,NR,Other,2375,2520,2511,Rs/Quintal
Sheopurkalan,Mustard,Madhya Pradesh,2011,February,9.3,Tonnes,NR,Other,2301,2528,2472,Rs/Quintal
Shivpuri,Mustard,Madhya Pradesh,2011,February,67.1,Tonnes,NR,Other,2015,2645,2381,Rs/Quintal
Shujalpur,Mustard,Madhya Pradesh,2011,February,20.5,Tonnes,NR,Other,2340,2340,2340,Rs/Quintal
Ujjain,Mustard,Madhya Pradesh,2011,February,4,Tonnes,NR,Mustard,2100,2275,2275,Rs/Quintal
Ujjain,Mustard,Madhya Pradesh,2011,February,,,NR,Other,2100,2275,2275,Rs/Quintal
Deoulgaon Raja,Mustard,Maharashtra,2011,February,0.2,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Mumbai,Mustard,Maharashtra,2011,February,NR,Tonnes,NR,Other,3000,3200,3100,Rs/Quintal
Narela,Mustard,NCT of Delhi,2011,February,2.6,Tonnes,NR,Mustard,2400,2503,2400,Rs/Quintal
Alwar,Mustard,Rajasthan,2011,February,155.9,Tonnes,NR,Other,2320,2715,2525,Rs/Quintal
Baran,Mustard,Rajasthan,2011,February,297.5,Tonnes,NR,Other,2500,2599,2550,Rs/Quintal
Barmer,Mustard,Rajasthan,2011,February,NR,Tonnes,NR,Sarson(Black),2300,2400,2350,Rs/Quintal
Bharatpur,Mustard,Rajasthan,2011,February,85.3,Tonnes,NR,Other,2500,2684,2592,Rs/Quintal
Bharatpur(Kumer),Mustard,Rajasthan,2011,February,6.2,Tonnes,NR,Other,2600,2750,2675,Rs/Quintal
Bhawani Mandi,Mustard,Rajasthan,2011,February,35.5,Tonnes,NR,Other,2201,2549,2375,Rs/Quintal
Bundi,Mustard,Rajasthan,2011,February,7,Tonnes,NR,Other,2450,2481,2465,Rs/Quintal
Chhabra,Mustard,Rajasthan,2011,February,370,Tonnes,NR,Other,2400,2609,2505,Rs/Quintal
Chomu,Mustard,Rajasthan,2011,February,1.6,Tonnes,NR,Other,2450,2450,2450,Rs/Quintal
Dausa,Mustard,Rajasthan,2011,February,18,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Fatehnagar,Mustard,Rajasthan,2011,February,2.7,Tonnes,NR,Other,2250,2520,2465,Rs/Quintal
Gajsinghpur,Mustard,Rajasthan,2011,February,25,Tonnes,NR,Other,2281,2300,2300,Rs/Quintal
Gangapur City,Mustard,Rajasthan,2011,February,37.2,Tonnes,NR,Other,2480,2653,2560,Rs/Quintal
Itawa,Mustard,Rajasthan,2011,February,79.2,Tonnes,NR,Other,2299,2597,2448,Rs/Quintal
Jhunjhunu,Mustard,Rajasthan,2011,February,NR,Tonnes,NR,Other,2400,2400,2400,Rs/Quintal
Kama,Mustard,Rajasthan,2011,February,5.5,Tonnes,NR,Other,2500,2500,2500,Rs/Quintal
Kekri,Mustard,Rajasthan,2011,February,NR,Tonnes,NR,Other,2200,2450,2201,Rs/Quintal
Kesarisinghpur,Mustard,Rajasthan,2011,February,2,Tonnes,NR,Other,2501,2501,2501,Rs/Quintal
Kota,Mustard,Rajasthan,2011,February,383,Tonnes,NR,Other,2200,2590,2450,Rs/Quintal
Kotputli,Mustard,Rajasthan,2011,February,509,Tonnes,NR,Other,2525,2600,2567,Rs/Quintal
Kuchaman City,Mustard,Rajasthan,2011,February,0.6,Tonnes,NR,Other,2284,2284,2284,Rs/Quintal
Lalsot,Mustard,Rajasthan,2011,February,7.3,Tonnes,NR,Other,2425,2480,2460,Rs/Quintal
Lalsot(Mandabari),Mustard,Rajasthan,2011,February,52.4,Tonnes,NR,Other,2510,2584,2547,Rs/Quintal
Malpura,Mustard,Rajasthan,2011,February,17.1,Tonnes,NR,Other,2300,2475,2425,Rs/Quintal
Nagar,Mustard,Rajasthan,2011,February,11.9,Tonnes,NR,Other,2610,2715,2650,Rs/Quintal
Nawalgarh,Mustard,Rajasthan,2011,February,2.5,Tonnes,NR,Other,2450,2500,2475,Rs/Quintal
Nimbahera,Mustard,Rajasthan,2011,February,56.2,Tonnes,NR,Other,2211,2533,2300,Rs/Quintal
Niwai,Mustard,Rajasthan,2011,February,31,Tonnes,NR,Other,2615,2615,2615,Rs/Quintal
Padampur,Mustard,Rajasthan,2011,February,0.6,Tonnes,NR,Lohi Black,2425,2425,2425,Rs/Quintal
Raisingh Nagar,Mustard,Rajasthan,2011,February,7.5,Tonnes,"Rajasthan,Ganganagar",Other,2431,2501,2470,Rs/Quintal
Rawla,Mustard,Rajasthan,2011,February,7.2,Tonnes,NR,Mustard,2415,2415,2415,Rs/Quintal
Sangriya,Mustard,Rajasthan,2011,February,5,Tonnes,NR,Other,2458,2458,2458,Rs/Quintal
Sawai Madhopur,Mustard,Rajasthan,2011,February,17.4,Tonnes,NR,Other,2417,2516,2476,Rs/Quintal
Sri Vijayanagar,Mustard,Rajasthan,2011,February,2.2,Tonnes,NR,Other,2373,2373,2373,Rs/Quintal
Sriganganagar,Mustard,Rajasthan,2011,February,57,Tonnes,NR,Other,2385,2476,2451,Rs/Quintal
Tonk,Mustard,Rajasthan,2011,February,186,Tonnes,NR,Mustard,2489,2515,2490,Rs/Quintal
Udaipur,Mustard,Rajasthan,2011,February,10,Tonnes,NR,Other,2200,2325,2275,Rs/Quintal
Achnera,Mustard,Uttar Pradesh,2011,February,1.9,Tonnes,NR,Other,2200,2410,2375,Rs/Quintal
Agra,Mustard,Uttar Pradesh,2011,February,950,Tonnes,NR,Other,2450,2525,2500,Rs/Quintal
Ahirora,Mustard,Uttar Pradesh,2011,February,35,Tonnes,NR,Lohi Black,2515,2555,2535,Rs/Quintal
Ajuha,Mustard,Uttar Pradesh,2011,February,8,Tonnes,NR,Lohi Black,NR,NR,2450,Rs/Quintal
Akbarpur,Mustard,Uttar Pradesh,2011,February,NR,Tonnes,NR,Other,2425,2500,2450,Rs/Quintal
Aligarh,Mustard,Uttar Pradesh,2011,February,60,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Allahabad,Mustard,Uttar Pradesh,2011,February,22.5,Tonnes,NR,Lohi Black,NR,NR,2450,Rs/Quintal
Atarra,Mustard,Uttar Pradesh,2011,February,35,Tonnes,NR,Mustard,2250,NR,NR,Rs/Quintal
Auraiya,Mustard,Uttar Pradesh,2011,February,11,Tonnes,NR,Lohi Black,NR,NR,2425,Rs/Quintal
Azamgarh,Mustard,Uttar Pradesh,2011,February,1,Tonnes,NR,Other,2245,2265,2255,Rs/Quintal
Badayoun,Mustard,Uttar Pradesh,2011,February,12,Tonnes,NR,Other,NR,NR,2480,Rs/Quintal
Bahraich,Mustard,Uttar Pradesh,2011,February,6.2,Tonnes,NR,Lohi Black,2350,2400,2375,Rs/Quintal
Ballia,Mustard,Uttar Pradesh,2011,February,3.5,Tonnes,NR,Mustard,NR,NR,2575,Rs/Quintal
Balrampur,Mustard,Uttar Pradesh,2011,February,2.5,Tonnes,NR,Other,2350,2450,2375,Rs/Quintal
Banda,Mustard,Uttar Pradesh,2011,February,190,Tonnes,NR,Mustard,NR,NR,2260,Rs/Quintal
Bangarmau,Mustard,Uttar Pradesh,2011,February,0.5,Tonnes,NR,Other,NR,NR,2300,Rs/Quintal
Baraut,Mustard,Uttar Pradesh,2011,February,4,Tonnes,NR,Other,NR,NR,2510,Rs/Quintal
Bareilly,Mustard,Uttar Pradesh,2011,February,6.8,Tonnes,NR,Lohi Black,NR,NR,2575,Rs/Quintal
Bhehjoi,Mustard,Uttar Pradesh,2011,February,5.3,Tonnes,NR,Other,NR,NR,2240,Rs/Quintal
Bijnaur,Mustard,Uttar Pradesh,2011,February,0.6,Tonnes,NR,Other,NR,NR,2665,Rs/Quintal
Bindki,Mustard,Uttar Pradesh,2011,February,2.1,Tonnes,NR,Lohi Black,2325,2385,2365,Rs/Quintal
Buland Shahr,Mustard,Uttar Pradesh,2011,February,4,Tonnes,NR,Other,2180,2280,2220,Rs/Quintal
Chandausi,Mustard,Uttar Pradesh,2011,February,8.5,Tonnes,NR,Other,NR,NR,2480,Rs/Quintal
Chandoli,Mustard,Uttar Pradesh,2011,February,1.5,Tonnes,NR,Other,NR,NR,2570,Rs/Quintal
Chibramau,Mustard,Uttar Pradesh,2011,February,3.8,Tonnes,NR,Lohi Black,2410,2450,2430,Rs/Quintal
Devariya,Mustard,Uttar Pradesh,2011,February,0.5,Tonnes,NR,Lohi Black,NR,NR,2320,Rs/Quintal
Devband,Mustard,Uttar Pradesh,2011,February,0.5,Tonnes,NR,Other,2400,2600,2545,Rs/Quintal
Divai,Mustard,Uttar Pradesh,2011,February,9.5,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Dudhi,Mustard,Uttar Pradesh,2011,February,100,Tonnes,NR,Other,NR,NR,2460,Rs/Quintal
Etah,Mustard,Uttar Pradesh,2011,February,30,Tonnes,NR,Other,2170,2330,2270,Rs/Quintal
Etawah,Mustard,Uttar Pradesh,2011,February,3,Tonnes,NR,Lohi Black,2350,2390,2370,Rs/Quintal
Faizabad,Mustard,Uttar Pradesh,2011,February,2.5,Tonnes,NR,Other,2400,2430,2420,Rs/Quintal
Farukhabad,Mustard,Uttar Pradesh,2011,February,6.5,Tonnes,NR,Sarson(Black),NR,NR,2500,Rs/Quintal
Fatehabad,Mustard,Uttar Pradesh,2011,February,1.2,Tonnes,NR,Other,2420,2580,2500,Rs/Quintal
Fatehpur,Mustard,Uttar Pradesh,2011,February,4.5,Tonnes,NR,Mustard,NR,NR,2380,Rs/Quintal
Fatehpur,Mustard,Uttar Pradesh,2011,February,,,NR,Other,2400,2400,2400,Rs/Quintal
Fatehpur Sikri,Mustard,Uttar Pradesh,2011,February,40,Tonnes,NR,Other,2550,2630,2595,Rs/Quintal
Gazipur,Mustard,Uttar Pradesh,2011,February,4.2,Tonnes,NR,Other,2560,2600,2580,Rs/Quintal
Ghaziabad,Mustard,Uttar Pradesh,2011,February,12,Tonnes,NR,Other,NR,NR,2765,Rs/Quintal
Gonda,Mustard,Uttar Pradesh,2011,February,1.2,Tonnes,NR,Other,2360,2375,2370,Rs/Quintal
Gorakhpur,Mustard,Uttar Pradesh,2011,February,40,Tonnes,NR,Lohi Black,NR,NR,2350,Rs/Quintal
Hapur,Mustard,Uttar Pradesh,2011,February,31,Tonnes,NR,Other,2400,2700,2450,Rs/Quintal
Hardoi,Mustard,Uttar Pradesh,2011,February,5,Tonnes,NR,Other,NR,NR,2410,Rs/Quintal
Jagnair,Mustard,Uttar Pradesh,2011,February,9,Tonnes,NR,Other,2500,2590,2560,Rs/Quintal
Jasra,Mustard,Uttar Pradesh,2011,February,0.28,Tonnes,NR,Other,NR,NR,2430,Rs/Quintal
Jaunpur,Mustard,Uttar Pradesh,2011,February,25,Tonnes,NR,Other,NR,NR,2560,Rs/Quintal
Jhansi,Mustard,Uttar Pradesh,2011,February,15,Tonnes,NR,Other,NR,NR,2325,Rs/Quintal
Kadaura,Mustard,Uttar Pradesh,2011,February,NR,Tonnes,NR,Lohi Black,NR,NR,2350,Rs/Quintal
Kamlaganj,Mustard,Uttar Pradesh,2011,February,12,Tonnes,NR,Lohi Black,2405,2455,2430,Rs/Quintal
Kannauj,Mustard,Uttar Pradesh,2011,February,4.5,Tonnes,NR,Lohi Black,2330,2370,2350,Rs/Quintal
Kanpur(Grain),Mustard,Uttar Pradesh,2011,February,50,Tonnes,NR,Lohi Black,2400,2440,2420,Rs/Quintal
Kayamganj,Mustard,Uttar Pradesh,2011,February,7,Tonnes,NR,Lohi Black,2340,2380,2360,Rs/Quintal
Khair,Mustard,Uttar Pradesh,2011,February,50,Tonnes,NR,Other,2100,2290,2260,Rs/Quintal
