Market Center,State,Commodity,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Pusapatirega,Andhra Pradesh,Groundnut,2012,February,0.1,Tonnes,NR,Local,2300,2400,2300,Rs/Quintal
Rayadurg,Andhra Pradesh,Groundnut,2012,February,0.1,Tonnes,NR,Local,3300,3500,3400,Rs/Quintal
Tadipatri,Andhra Pradesh,Groundnut,2012,February,NR,Tonnes,NR,TMV-2,2800,3000,2900,Rs/Quintal
Tenakallu,Andhra Pradesh,Groundnut,2012,February,NR,Tonnes,NR,JL-24,3000,3200,3100,Rs/Quintal
Urvakonda,Andhra Pradesh,Groundnut,2012,February,0.1,Tonnes,NR,TMV-2,3000,3200,3100,Rs/Quintal
Gubbi,Karnataka,Groundnut,2012,February,2,Tonnes,NR,Big (With Shell),2500,2600,2600,Rs/Quintal
Soundati,Karnataka,Groundnut,2012,February,14,Tonnes,NR,Gejje,1993,4076,2833,Rs/Quintal
Pichhour,Madhya Pradesh,Groundnut,2012,February,7,Tonnes,NR,Other,3600,4100,3900,Rs/Quintal
Pune,Maharashtra,Groundnut,2012,February,1.7,Tonnes,NR,Other,6400,6900,6650,Rs/Quintal
Attabira,Orissa,Groundnut,2012,February,NR,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Bikaner (Grain),Rajasthan,Groundnut,2012,February,21.8,Tonnes,NR,Other,2951,4630,3790,Rs/Quintal
Chomu,Rajasthan,Groundnut,2012,February,3.5,Tonnes,NR,Other,4000,4100,4050,Rs/Quintal
Sri Madhopur,Rajasthan,Groundnut,2012,February,2,Tonnes,"Rajasthan,Sikar",Other,3850,3850,3850,Rs/Quintal
Aruppukottai,Tamil Nadu,Groundnut,2012,February,NR,Tonnes,NR,Other,4000,4300,4150,Rs/Quintal
Avalurpet,Tamil Nadu,Groundnut,2012,February,150,Tonnes,NR,Other,4062,5139,4600,Rs/Quintal
Cheyyar,Tamil Nadu,Groundnut,2012,February,2.15,Tonnes,NR,Other,4683,6063,6063,Rs/Quintal
Gingee,Tamil Nadu,Groundnut,2012,February,20,Tonnes,NR,Other,3963,4289,4050,Rs/Quintal
Kallakurichi,Tamil Nadu,Groundnut,2012,February,6,Tonnes,NR,Other,5406,6011,NR,Rs/Quintal
Krishnagiri,Tamil Nadu,Groundnut,2012,February,NR,Tonnes,NR,Other,3000,3150,3100,Rs/Quintal
Pennagaram,Tamil Nadu,Groundnut,2012,February,NR,Tonnes,NR,Other,3500,3750,3600,Rs/Quintal
Salem,Tamil Nadu,Groundnut,2012,February,0.1,Tonnes,NR,Other,4400,5000,4700,Rs/Quintal
Salem,Tamil Nadu,Groundnut,2012,February,,,NR,Seed,4100,5000,4550,Rs/Quintal
Sevur,Tamil Nadu,Groundnut,2012,February,NR,Tonnes,NR,Other,4000,4790,4500,Rs/Quintal
Thirukovilur,Tamil Nadu,Groundnut,2012,February,200,Tonnes,NR,Other,3809,5029,4889,Rs/Quintal
Tindivanam,Tamil Nadu,Groundnut,2012,February,15,Tonnes,NR,Other,3439,4439,3589,Rs/Quintal
Tiruchengode,Tamil Nadu,Groundnut,2012,February,NR,Tonnes,NR,Other,3900,4500,4200,Rs/Quintal
Ulundurpettai,Tamil Nadu,Groundnut,2012,February,0.2,Tonnes,NR,Other,5156,5959,5558,Rs/Quintal
Vellore,Tamil Nadu,Groundnut,2012,February,23.55,Tonnes,NR,Local,4711,5851,5500,Rs/Quintal
Vikkiravandi,Tamil Nadu,Groundnut,2012,February,1,Tonnes,NR,Other,3700,NR,NR,Rs/Quintal
Achampet,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,4286,5120,4703,Rs/Quintal
Achampet(Amrabad),Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,4296,5120,4703,Rs/Quintal
Atmakur,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,2100,2100,2100,Rs/Quintal
Badepalli,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,3166,4886,4569,Rs/Quintal
Kollapur,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,2710,4787,3889,Rs/Quintal
Nagarkurnool,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,4102,4802,4608,Rs/Quintal
Narayanpet,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,2840,4375,3607,Rs/Quintal
Wanaparthy town,Telangana,Groundnut,2012,February,NR,Tonnes,NR,Local,3000,4900,4100,Rs/Quintal
Mahoba,Uttar Pradesh,Groundnut,2012,February,100,Tonnes,NR,Other,3498,3506,3500,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Groundnut,2012,February,9,Tonnes,NR,Other,3100,3500,3250,Rs/Quintal
Srikalahasti,Andhra Pradesh,Groundnut (Split),2012,February,NR,Tonnes,NR,Groundnut(Split),4900,5000,4950,Rs/Quintal
Manapparai,Tamil Nadu,Groundnut (Split),2012,February,NR,Tonnes,NR,Other,3200,3300,3250,Rs/Quintal
Azamgarh,Uttar Pradesh,Linseed,2012,February,0.3,Tonnes,NR,Other,2860,2880,2870,Rs/Quintal
Balrampur,Uttar Pradesh,Linseed,2012,February,0.3,Tonnes,NR,Other,2870,2890,2880,Rs/Quintal
Banda,Uttar Pradesh,Linseed,2012,February,31.5,Tonnes,NR,Other,NR,NR,4400,Rs/Quintal
Gazipur,Uttar Pradesh,Linseed,2012,February,0.5,Tonnes,NR,Other,2950,2990,2970,Rs/Quintal
Gonda,Uttar Pradesh,Linseed,2012,February,0.3,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Gorakhpur,Uttar Pradesh,Linseed,2012,February,1.5,Tonnes,NR,Linseed,2760,2800,2785,Rs/Quintal
Mahoba,Uttar Pradesh,Linseed,2012,February,5,Tonnes,NR,Other,3970,3987,3980,Rs/Quintal
Mugrabaadshahpur,Uttar Pradesh,Linseed,2012,February,NR,Tonnes,NR,Linseed,NR,NR,3200,Rs/Quintal
Naugarh,Uttar Pradesh,Linseed,2012,February,0.2,Tonnes,NR,Other,2780,2810,2795,Rs/Quintal
Partaval,Uttar Pradesh,Linseed,2012,February,0.3,Tonnes,NR,Other,2800,2840,2820,Rs/Quintal
Gauripur,Assam,Mustard,2012,February,5.5,Tonnes,NR,Other,2750,2875,2750,Rs/Quintal
Kharupetia,Assam,Mustard,2012,February,4,Tonnes,NR,Mustard,2500,2600,2550,Rs/Quintal
Balasinor,Gujarat,Mustard,2012,February,NR,Tonnes,NR,Other,2250,2500,2500,Rs/Quintal
Naraingarh,Haryana,Mustard,2012,February,1.2,Tonnes,NR,Tiria,2981,3100,3050,Rs/Quintal
Rewari,Haryana,Mustard,2012,February,0.7,Tonnes,NR,Other,3292,3428,3350,Rs/Quintal
Lashkar,Madhya Pradesh,Mustard,2012,February,5.2,Tonnes,NR,Mustard,2700,3400,3025,Rs/Quintal
Mehgaon,Madhya Pradesh,Mustard,2012,February,2.5,Tonnes,NR,Other,3170,3245,3200,Rs/Quintal
Morena,Madhya Pradesh,Mustard,2012,February,49.1,Tonnes,NR,Mustard,2570,3160,2995,Rs/Quintal
Morena,Madhya Pradesh,Mustard,2012,February,,,NR,Tiria,2575,2575,2575,Rs/Quintal
Sabalgarh,Madhya Pradesh,Mustard,2012,February,5.4,Tonnes,NR,Mustard,2710,3311,2900,Rs/Quintal
Vijaypur,Madhya Pradesh,Mustard,2012,February,49.1,Tonnes,NR,Other,3020,3040,3035,Rs/Quintal
Najafgarh,NCT of Delhi,Mustard,2012,February,3.8,Tonnes,NR,Mustard,2600,2851,2800,Rs/Quintal
Narela,NCT of Delhi,Mustard,2012,February,1,Tonnes,NR,Mustard,2941,3261,3261,Rs/Quintal
Alwar,Rajasthan,Mustard,2012,February,335.1,Tonnes,NR,Other,2600,3280,3050,Rs/Quintal
Atru,Rajasthan,Mustard,2012,February,12.3,Tonnes,NR,Sarson(Black),3040,3195,3117,Rs/Quintal
Bharatpur(Kumer),Rajasthan,Mustard,2012,February,2.2,Tonnes,NR,Other,3300,3475,3388,Rs/Quintal
Bhawani Mandi,Rajasthan,Mustard,2012,February,1.2,Tonnes,NR,Other,3066,3066,3066,Rs/Quintal
Bhawani Mandi(Choumehla),Rajasthan,Mustard,2012,February,25.6,Tonnes,NR,Other,3000,3000,3000,Rs/Quintal
Bijay Nagar,Rajasthan,Mustard,2012,February,11.2,Tonnes,NR,Other,2490,3075,2700,Rs/Quintal
Bilara,Rajasthan,Mustard,2012,February,0.6,Tonnes,NR,Other,2876,2876,2876,Rs/Quintal
Chomu,Rajasthan,Mustard,2012,February,1.1,Tonnes,NR,Other,3400,3400,3400,Rs/Quintal
Deeg,Rajasthan,Mustard,2012,February,58.9,Tonnes,NR,Other,2845,3383,3058,Rs/Quintal
Gajsinghpur,Rajasthan,Mustard,2012,February,0.2,Tonnes,NR,Other,3051,3051,3051,Rs/Quintal
Gharsana,Rajasthan,Mustard,2012,February,30,Tonnes,NR,Other,3001,3001,3001,Rs/Quintal
Itawa,Rajasthan,Mustard,2012,February,9.6,Tonnes,NR,Other,2801,3301,3051,Rs/Quintal
Kama,Rajasthan,Mustard,2012,February,15.3,Tonnes,NR,Other,2650,3329,2980,Rs/Quintal
Khairthal,Rajasthan,Mustard,2012,February,361,Tonnes,NR,Other,2980,3350,3220,Rs/Quintal
Khajuwala,Rajasthan,Mustard,2012,February,0.5,Tonnes,NR,Other,3121,3121,3121,Rs/Quintal
Kherli,Rajasthan,Mustard,2012,February,69,Tonnes,NR,Other,2980,3520,3215,Rs/Quintal
Kishan Renwal(Sambhar),Rajasthan,Mustard,2012,February,3.4,Tonnes,NR,Other,3075,3075,3075,Rs/Quintal
Nagar,Rajasthan,Mustard,2012,February,2.72,Tonnes,NR,Other,2950,3100,3000,Rs/Quintal
Raisingh Nagar,Rajasthan,Mustard,2012,February,5,Tonnes,"Rajasthan,Ganganagar",Other,2901,3190,3176,Rs/Quintal
Rajasamand,Rajasthan,Mustard,2012,February,NR,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Rani,Rajasthan,Mustard,2012,February,1.5,Tonnes,NR,Other,2823,2823,2823,Rs/Quintal
Rawla,Rajasthan,Mustard,2012,February,1.3,Tonnes,NR,Mustard,3135,3135,3135,Rs/Quintal
Sawai Madhopur,Rajasthan,Mustard,2012,February,17.8,Tonnes,NR,Other,2925,3272,3169,Rs/Quintal
Sri Madhopur,Rajasthan,Mustard,2012,February,2.7,Tonnes,NR,Other,3070,3070,3070,Rs/Quintal
Sri Vijayanagar,Rajasthan,Mustard,2012,February,0.3,Tonnes,NR,Other,3040,3040,3040,Rs/Quintal
Sriganganagar,Rajasthan,Mustard,2012,February,0.5,Tonnes,NR,Other,3286,3286,3286,Rs/Quintal
Sumerpur,Rajasthan,Mustard,2012,February,7.9,Tonnes,NR,Other,3020,3384,3250,Rs/Quintal
Tonk,Rajasthan,Mustard,2012,February,351,Tonnes,NR,Mustard,2900,3171,3035,Rs/Quintal
Uniyara,Rajasthan,Mustard,2012,February,0.7,Tonnes,NR,Other,2252,2252,2252,Rs/Quintal
Vijay Nagar(Gulabpura),Rajasthan,Mustard,2012,February,2.5,Tonnes,NR,Other,2801,2900,2850,Rs/Quintal
Ajuha,Uttar Pradesh,Mustard,2012,February,5,Tonnes,NR,Lohi Black,NR,NR,2775,Rs/Quintal
Akbarpur,Uttar Pradesh,Mustard,2012,February,1,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Aligarh,Uttar Pradesh,Mustard,2012,February,110,Tonnes,NR,Lohi Black,2570,2830,2720,Rs/Quintal
Azamgarh,Uttar Pradesh,Mustard,2012,February,0.7,Tonnes,NR,Other,2790,2810,2800,Rs/Quintal
Bahraich,Uttar Pradesh,Mustard,2012,February,1.8,Tonnes,NR,Lohi Black,2700,2850,2800,Rs/Quintal
Ballia,Uttar Pradesh,Mustard,2012,February,2,Tonnes,NR,Lohi Black,NR,NR,2900,Rs/Quintal
Balrampur,Uttar Pradesh,Mustard,2012,February,0.8,Tonnes,NR,Other,2810,2840,2825,Rs/Quintal
Banda,Uttar Pradesh,Mustard,2012,February,32.5,Tonnes,NR,Mustard,NR,NR,3000,Rs/Quintal
Bareilly,Uttar Pradesh,Mustard,2012,February,10.8,Tonnes,NR,Lohi Black,NR,NR,2760,Rs/Quintal
Bijnaur,Uttar Pradesh,Mustard,2012,February,0.6,Tonnes,NR,Lohi Black,NR,NR,2900,Rs/Quintal
Chandoli,Uttar Pradesh,Mustard,2012,February,1.5,Tonnes,NR,Other,NR,NR,2890,Rs/Quintal
Devariya,Uttar Pradesh,Mustard,2012,February,1,Tonnes,NR,Lohi Black,2675,2715,2690,Rs/Quintal
Divai,Uttar Pradesh,Mustard,2012,February,11,Tonnes,NR,Laha(Sarsib),2650,2750,2700,Rs/Quintal
Etawah,Uttar Pradesh,Mustard,2012,February,3,Tonnes,NR,Sarson(Black),3100,3140,3120,Rs/Quintal
Faizabad,Uttar Pradesh,Mustard,2012,February,2.9,Tonnes,NR,Other,2780,2825,2800,Rs/Quintal
Farukhabad,Uttar Pradesh,Mustard,2012,February,7,Tonnes,NR,Sarson(Black),NR,NR,2900,Rs/Quintal
Fatehpur,Uttar Pradesh,Mustard,2012,February,3,Tonnes,NR,Mustard,NR,NR,2945,Rs/Quintal
Gazipur,Uttar Pradesh,Mustard,2012,February,2.1,Tonnes,NR,Other,2860,2900,2880,Rs/Quintal
Gonda,Uttar Pradesh,Mustard,2012,February,7,Tonnes,NR,Other,2625,2700,2665,Rs/Quintal
Gorakhpur,Uttar Pradesh,Mustard,2012,February,12,Tonnes,NR,Lohi Black,2770,2825,2790,Rs/Quintal
Haathras,Uttar Pradesh,Mustard,2012,February,65,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Hardoi,Uttar Pradesh,Mustard,2012,February,10,Tonnes,NR,Other,2800,2900,2850,Rs/Quintal
Jasra,Uttar Pradesh,Mustard,2012,February,3,Tonnes,NR,Lohi Black,NR,NR,2750,Rs/Quintal
Jaunpur,Uttar Pradesh,Mustard,2012,February,3,Tonnes,NR,Lohi Black,NR,NR,2890,Rs/Quintal
Kanpur(Grain),Uttar Pradesh,Mustard,2012,February,40,Tonnes,NR,Sarson(Black),2850,2900,2875,Rs/Quintal
Karvi,Uttar Pradesh,Mustard,2012,February,23,Tonnes,NR,Mustard,NR,NR,2850,Rs/Quintal
Kosikalan,Uttar Pradesh,Mustard,2012,February,120,Tonnes,NR,Sarson(Black),2700,2900,2800,Rs/Quintal
Mahoba,Uttar Pradesh,Mustard,2012,February,80,Tonnes,NR,Other,2977,2984,2980,Rs/Quintal
Mainpuri,Uttar Pradesh,Mustard,2012,February,17.5,Tonnes,NR,Yellow (Black),2760,2825,2815,Rs/Quintal
Mathura,Uttar Pradesh,Mustard,2012,February,23.7,Tonnes,NR,Sarson(Black),2770,2825,2800,Rs/Quintal
Mawana,Uttar Pradesh,Mustard,2012,February,1,Tonnes,NR,Other,NR,NR,2950,Rs/Quintal
Mirzapur,Uttar Pradesh,Mustard,2012,February,7.5,Tonnes,NR,Lohi Black,NR,NR,2885,Rs/Quintal
Mugrabaadshahpur,Uttar Pradesh,Mustard,2012,February,NR,Tonnes,NR,Lohi Black,NR,NR,2850,Rs/Quintal
Muradabad,Uttar Pradesh,Mustard,2012,February,1,Tonnes,NR,Other,NR,NR,2875,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Mustard,2012,February,0.5,Tonnes,NR,Mustard,3000,3250,3100,Rs/Quintal
Naugarh,Uttar Pradesh,Mustard,2012,February,0.5,Tonnes,NR,Other,2700,2760,2735,Rs/Quintal
Partaval,Uttar Pradesh,Mustard,2012,February,1,Tonnes,NR,Other,2780,2820,2800,Rs/Quintal
Shahjahanpur,Uttar Pradesh,Mustard,2012,February,8,Tonnes,NR,Lohi Black,NR,NR,2830,Rs/Quintal
Sitapur,Uttar Pradesh,Mustard,2012,February,5,Tonnes,NR,Other,2750,2900,2800,Rs/Quintal
Tamkuhi Road,Uttar Pradesh,Mustard,2012,February,3,Tonnes,NR,Other,2560,2590,2575,Rs/Quintal
Varanasi(Grain),Uttar Pradesh,Mustard,2012,February,25,Tonnes,NR,Other,NR,NR,2860,Rs/Quintal
Balurghat,West Bengal,Mustard,2012,February,15,Tonnes,NR,Yellow (Black),3350,3450,3400,Rs/Quintal
Bankura Sadar,West Bengal,Mustard,2012,February,57,Tonnes,NR,Other,3450,3600,3500,Rs/Quintal
Beldanga,West Bengal,Mustard,2012,February,6.5,Tonnes,NR,Yellow (Black),3050,3200,3100,Rs/Quintal
Bethuadahari,West Bengal,Mustard,2012,February,7,Tonnes,NR,Yellow (Black),3295,3310,3300,Rs/Quintal
Bishnupur(Bankura),West Bengal,Mustard,2012,February,15,Tonnes,NR,Other,3350,3450,3400,Rs/Quintal
Burdwan,West Bengal,Mustard,2012,February,6,Tonnes,NR,Other,3250,3500,3450,Rs/Quintal
Chakdah(Kalyani),West Bengal,Mustard,2012,February,2.5,Tonnes,NR,Mustard,300,3100,3050,Rs/Quintal
Gangarampur,West Bengal,Mustard,2012,February,10,Tonnes,NR,Yellow (Black),3225,3255,3240,Rs/Quintal
Indus,West Bengal,Mustard,2012,February,2,Tonnes,NR,Other,3350,3450,3400,Rs/Quintal
Kandi,West Bengal,Mustard,2012,February,65,Tonnes,NR,Yellow (Black),2980,3020,3000,Rs/Quintal
Khatra,West Bengal,Mustard,2012,February,18,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Memari,West Bengal,Mustard,2012,February,29,Tonnes,NR,Other,3480,3700,3600,Rs/Quintal
Rampurhat,West Bengal,Mustard,2012,February,10,Tonnes,NR,Other,3300,3400,3350,Rs/Quintal
Samsi,West Bengal,Mustard,2012,February,150,Tonnes,NR,Mustard,2950,3050,3000,Rs/Quintal
Samsi,West Bengal,Mustard,2012,February,,,NR,Other,3050,3150,3100,Rs/Quintal
Karimganj,Assam,Mustard Oil,2012,February,22.5,Tonnes,NR,Other,7834,8334,8067,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Mustard Oil,2012,February,13.1,Tonnes,NR,Other,8470,8800,8540,Rs/Quintal
Daltenganj,Jharkhand,Mustard Oil,2012,February,NR,Tonnes,NR,Other,8600,9000,8800,Rs/Quintal
Dhanbad,Jharkhand,Mustard Oil,2012,February,38,Tonnes,NR,Other,8000,8500,8300,Rs/Quintal
Gadhwah,Jharkhand,Mustard Oil,2012,February,NR,Tonnes,NR,Other,8000,9000,8500,Rs/Quintal
Jamtara,Jharkhand,Mustard Oil,2012,February,0.6,Tonnes,NR,Other,8300,8500,8400,Rs/Quintal
Latehar,Jharkhand,Mustard Oil,2012,February,NR,Tonnes,NR,Other,8300,8500,8400,Rs/Quintal
Ramgarh,Jharkhand,Mustard Oil,2012,February,15,Tonnes,NR,Other,8400,8500,8500,Rs/Quintal
Sahebganj,Jharkhand,Mustard Oil,2012,February,NR,Tonnes,NR,Other,8600,9000,8870,Rs/Quintal
Saraikela,Jharkhand,Mustard Oil,2012,February,NR,Tonnes,NR,Other,8300,8600,8400,Rs/Quintal
Bijay Nagar,Rajasthan,Mustard Oil,2012,February,13.05,Tonnes,NR,Other,8467,8800,8534,Rs/Quintal
Ajuha,Uttar Pradesh,Mustard Oil,2012,February,1.2,Tonnes,NR,Other,NR,NR,7575,Rs/Quintal
Ballia,Uttar Pradesh,Mustard Oil,2012,February,NR,Tonnes,NR,Other,NR,NR,7300,Rs/Quintal
Banda,Uttar Pradesh,Mustard Oil,2012,February,7.5,Tonnes,NR,Other,NR,NR,7400,Rs/Quintal
Bareilly,Uttar Pradesh,Mustard Oil,2012,February,NR,Tonnes,NR,Other,NR,NR,7300,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Mustard Oil,2012,February,8,Tonnes,NR,Other,7150,7600,7400,Rs/Quintal
Jhargram,West Bengal,Mustard Oil,2012,February,26,Tonnes,NR,Other,8700,8800,8700,Rs/Quintal
Purulia,West Bengal,Mustard Oil,2012,February,14,Tonnes,NR,Other,8633,9733,8666,Rs/Quintal
Chintapally,Andhra Pradesh,Niger Seed (Ramtil),2012,February,6.2,Tonnes,NR,Niger Seed,2420,2500,2450,Rs/Quintal
Panna,Madhya Pradesh,Other Oil Seed,2012,February,4.5,Tonnes,NR,Other,4290,4340,4315,Rs/Quintal
Karimganj,Assam,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.1,Tonnes,NR,Other,2000,2500,2250,Rs/Quintal
Kharupetia,Assam,"Sesamum(Sesame, Gingelly,Til)",2012,February,3,Tonnes,NR,Other,3800,4000,3900,Rs/Quintal
Vadodara,Gujarat,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.57,Tonnes,NR,Other,6000,6500,6500,Rs/Quintal
Bandikui,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.2,Tonnes,NR,Other,4940,5040,NR,Rs/Quintal
Jodhpur(Grain)(Bhagat Ki Kothi),Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,4.1,Tonnes,NR,Other,4500,5500,5000,Rs/Quintal
Nohar,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.1,Tonnes,NR,Other,4410,4410,4410,Rs/Quintal
Rani,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.4,Tonnes,NR,Other,5001,5001,5001,Rs/Quintal
Rawatsar,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.2,Tonnes,NR,Sesame,5521,5521,5521,Rs/Quintal
Sawai Madhopur,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.5,Tonnes,NR,Other,5200,5500,5380,Rs/Quintal
Sujangarh,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,10.4,Tonnes,NR,Other,4300,4700,4600,Rs/Quintal
Tonk,Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,98,Tonnes,NR,White,4075,5125,4960,Rs/Quintal
Vijay Nagar(Gulabpura),Rajasthan,"Sesamum(Sesame, Gingelly,Til)",2012,February,0.1,Tonnes,NR,Other,4850,4850,4850,Rs/Quintal
Ajuha,Uttar Pradesh,"Sesamum(Sesame, Gingelly,Til)",2012,February,19,Tonnes,NR,White,NR,NR,4925,Rs/Quintal
Mahoba,Uttar Pradesh,"Sesamum(Sesame, Gingelly,Til)",2012,February,50,Tonnes,NR,Other,5295,5310,5300,Rs/Quintal
Bethuadahari,West Bengal,"Sesamum(Sesame, Gingelly,Til)",2012,February,5,Tonnes,NR,Crushing,2995,3010,3000,Rs/Quintal
Gandai,Chattisgarh,Soyabean,2012,February,20,Tonnes,NR,Other,2200,2300,2250,Rs/Quintal
Pandariya,Chattisgarh,Soyabean,2012,February,78,Tonnes,NR,Yellow,2200,2200,2200,Rs/Quintal
Baikunthpur,Madhya Pradesh,Soyabean,2012,February,3,Tonnes,NR,Other,2300,2300,2300,Rs/Quintal
Balwadi,Madhya Pradesh,Soyabean,2012,February,1.5,Tonnes,NR,Yellow,1800,2100,2000,Rs/Quintal
Bhopal,Madhya Pradesh,Soyabean,2012,February,49.5,Tonnes,NR,Yellow,2300,2400,2400,Rs/Quintal
Garhakota,Madhya Pradesh,Soyabean,2012,February,154.23,Tonnes,NR,Yellow,2100,2300,2200,Rs/Quintal
Gautampura,Madhya Pradesh,Soyabean,2012,February,27.5,Tonnes,NR,Yellow,2125,2300,2300,Rs/Quintal
Hanumana,Madhya Pradesh,Soyabean,2012,February,16.8,Tonnes,NR,Other,2200,2300,2250,Rs/Quintal
Javera,Madhya Pradesh,Soyabean,2012,February,17.4,Tonnes,NR,Yellow,2100,2300,2200,Rs/Quintal
Keolari,Madhya Pradesh,Soyabean,2012,February,20,Tonnes,NR,Other,2100,2100,2100,Rs/Quintal
Kumbhraj,Madhya Pradesh,Soyabean,2012,February,5.02,Tonnes,NR,Other,2410,2440,2425,Rs/Quintal
Lakhnadon,Madhya Pradesh,Soyabean,2012,February,3,Tonnes,NR,Yellow,2000,2300,2200,Rs/Quintal
Shyampur,Madhya Pradesh,Soyabean,2012,February,31.7,Tonnes,NR,Other,2350,2350,2350,Rs/Quintal
Achalpur,Maharashtra,Soyabean,2012,February,139.4,Tonnes,NR,Other,2300,2390,2340,Rs/Quintal
Nagpur,Maharashtra,Soyabean,2012,February,36,Tonnes,NR,Other,2200,2435,2317,Rs/Quintal
Savner,Maharashtra,Soyabean,2012,February,32.5,Tonnes,NR,Other,2280,2431,2355,Rs/Quintal
Atru,Rajasthan,Soyabean,2012,February,6.4,Tonnes,NR,Yellow,2481,2510,2495,Rs/Quintal
Bhawani Mandi(Choumehla),Rajasthan,Soyabean,2012,February,70.3,Tonnes,NR,Other,2440,2470,2455,Rs/Quintal
Itawa,Rajasthan,Soyabean,2012,February,4.8,Tonnes,NR,Other,2490,2508,2499,Rs/Quintal
Atmakur,Andhra Pradesh,Sunflower,2012,February,NR,Tonnes,NR,Hybrid,2700,3000,2800,Rs/Quintal
Nandikotkur,Andhra Pradesh,Sunflower,2012,February,0.1,Tonnes,NR,Hybrid,2900,3100,3000,Rs/Quintal
Penukonda,Andhra Pradesh,Sunflower,2012,February,0.1,Tonnes,NR,Local,2700,2800,2750,Rs/Quintal
Pulivendala,Andhra Pradesh,Sunflower,2012,February,0.1,Tonnes,NR,Local,2800,3000,2900,Rs/Quintal
Tenakallu,Andhra Pradesh,Sunflower,2012,February,NR,Tonnes,NR,Sunflower,2700,2900,2800,Rs/Quintal
Thirukovilur,Tamil Nadu,Sunflower,2012,February,20,Tonnes,NR,Other,2555,2855,2835,Rs/Quintal
Narayanpet,Telangana,Sunflower,2012,February,NR,Tonnes,NR,Local,2925,2925,2925,Rs/Quintal
Adoni,Andhra Pradesh,Sunflower Seed,2012,February,NR,Tonnes,NR,Sunflower Seed,2540,2639,2600,Rs/Quintal
Cuddapah,Andhra Pradesh,Sunflower Seed,2012,February,0.1,Tonnes,NR,Sunflower Seed,2768,2924,2888,Rs/Quintal
Kadiri,Andhra Pradesh,Sunflower Seed,2012,February,NR,Tonnes,NR,Sunflower Seed,3100,3200,3150,Rs/Quintal
Proddatur,Andhra Pradesh,Sunflower Seed,2012,February,NR,Tonnes,NR,Sunflower Seed,3400,3500,3450,Rs/Quintal
Aruppukottai,Tamil Nadu,Sunflower Seed,2012,February,NR,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Ahmedabad,Gujarat,Toria,2012,February,0.1,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Adoni,Andhra Pradesh,Cotton,2012,February,NR,Tonnes,NR,Kapas (Adoni),3400,4089,3850,Rs/Quintal
Chilakaluripet,Andhra Pradesh,Cotton,2012,February,0.1,Tonnes,NR,Other,3600,3800,3700,Rs/Quintal
Kamalapuram,Andhra Pradesh,Cotton,2012,February,NR,Tonnes,NR,cotton (Ginned),3400,3600,3500,Rs/Quintal
Krosuru,Andhra Pradesh,Cotton,2012,February,0.1,Tonnes,NR,MCU,3300,3500,3400,Rs/Quintal
Macharla,Andhra Pradesh,Cotton,2012,February,0.1,Tonnes,NR,Other,3450,3750,3550,Rs/Quintal
Proddatur,Andhra Pradesh,Cotton,2012,February,NR,Tonnes,NR,MCU 5,4400,4500,4450,Rs/Quintal
Sattenapalli,Andhra Pradesh,Cotton,2012,February,0.1,Tonnes,NR,MCU 5,3800,4000,3900,Rs/Quintal
Tadikonda,Andhra Pradesh,Cotton,2012,February,0.1,Tonnes,NR,Cotton (Unginned),3300,3800,3600,Rs/Quintal
Tadipatri,Andhra Pradesh,Cotton,2012,February,NR,Tonnes,NR,MCU 5,3700,3800,3750,Rs/Quintal
Balasinor,Gujarat,Cotton,2012,February,NR,Tonnes,NR,Other,3500,3700,3700,Rs/Quintal
